slug,title,closed,winner,endDate,volume,upMin,upMax,upLast,upTouched,upTouchTime,upTouchWon,upPoints,downMin,downMax,downLast,downTouched,downTouchTime,downTouchWon,downPoints,url,error
bitcoin-up-or-down-june-20-2026-6am-et,"Bitcoin Up or Down - June 20, 6AM ET",True,Down,2026-06-20T11:00:00Z,18255.024598000018,0.0005,0.505,0.0005,True,2026-06-20T10:30:19+00:00,False,291,0.495,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-6am-et,
bitcoin-up-or-down-june-20-2026-5am-et,"Bitcoin Up or Down - June 20, 5AM ET",True,Up,2026-06-20T10:00:00Z,30955.742670000007,0.495,0.9995,0.9995,False,,False,291,0.0005,0.505,0.0005,True,2026-06-20T09:20:03+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-5am-et,
bitcoin-up-or-down-june-20-2026-4am-et,"Bitcoin Up or Down - June 20, 4AM ET",True,Down,2026-06-20T09:00:00Z,36521.673979,0.0005,0.5,0.0005,True,2026-06-20T08:10:04+00:00,False,291,0.5,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-4am-et,
bitcoin-up-or-down-june-20-2026-3am-et,"Bitcoin Up or Down - June 20, 3AM ET",True,Down,2026-06-20T08:00:00Z,34710.33462600003,0.0005,0.645,0.0005,True,2026-06-20T07:10:06+00:00,False,291,0.355,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-3am-et,
bitcoin-up-or-down-june-20-2026-2am-et,"Bitcoin Up or Down - June 20, 2AM ET",True,Up,2026-06-20T07:00:00Z,44938.03804999994,0.305,0.9995,0.9995,False,,False,291,0.0005,0.695,0.0005,True,2026-06-20T06:50:04+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-2am-et,
bitcoin-up-or-down-june-20-2026-1am-et,"Bitcoin Up or Down - June 20, 1AM ET",True,Up,2026-06-20T06:00:00Z,47281.567133000055,0.425,0.9995,0.9995,False,,False,291,0.0005,0.575,0.0005,True,2026-06-20T05:10:04+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-1am-et,
bitcoin-up-or-down-june-20-2026-12am-et,"Bitcoin Up or Down - June 20, 12AM ET",True,Up,2026-06-20T05:00:00Z,27249.817464999996,0.255,0.9995,0.9995,True,2026-06-20T04:10:04+00:00,True,291,0.0005,0.745,0.0005,True,2026-06-20T04:30:16+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-20-2026-12am-et,
bitcoin-up-or-down-june-19-2026-11pm-et,"Bitcoin Up or Down - June 19, 11PM ET",True,Up,2026-06-20T04:00:00Z,24013.49504799995,0.495,0.9995,0.9995,False,,False,291,0.0005,0.505,0.0005,True,2026-06-20T03:20:04+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-11pm-et,
bitcoin-up-or-down-june-19-2026-10pm-et,"Bitcoin Up or Down - June 19, 10PM ET",True,Down,2026-06-20T03:00:00Z,27014.99397300003,0.0005,0.5,0.0005,True,2026-06-20T02:10:05+00:00,False,291,0.5,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-10pm-et,
bitcoin-up-or-down-june-19-2026-9pm-et,"Bitcoin Up or Down - June 19, 9PM ET",True,Up,2026-06-20T02:00:00Z,27908.084983999986,0.295,0.9995,0.9995,True,2026-06-20T01:10:17+00:00,True,291,0.0005,0.695,0.0005,True,2026-06-20T01:40:03+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-9pm-et,
bitcoin-up-or-down-june-19-2026-8pm-et,"Bitcoin Up or Down - June 19, 8PM ET",True,Down,2026-06-20T01:00:00Z,46072.711721,0.0005,0.675,0.0005,True,2026-06-20T01:00:04+00:00,False,291,0.325,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-8pm-et,
bitcoin-up-or-down-june-19-2026-7pm-et,"Bitcoin Up or Down - June 19, 7PM ET",True,Up,2026-06-20T00:00:00Z,25402.935354999998,0.365,0.9995,0.9995,False,,False,291,0.0005,0.635,0.0005,True,2026-06-20T00:00:07+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-7pm-et,
