timestamp_ms,market_slug,timeframe,time_till_end,seconds_till_end,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth5,up_ask_depth5,down_bid_depth5,down_ask_depth5,up_imbalance,down_imbalance,up_microprice,down_microprice,arb_bid_sum_l1,arb_edge_l1
1782167418850,btc-updown-15m-1782167400,15m,14:42,882,0.53,0.54,0.46,0.47,0.010000000000000009,0.009999999999999953,1103.91,2233.75,2085.04,1295.9099999999999,-0.3385126106314004,0.2334048122569101,0.5358036699985081,0.4633989395886889,0.99,0.010000000000000009
1782167422195,btc-updown-15m-1782167400,15m,14:38,878,0.53,0.54,0.45,0.46,0.010000000000000009,0.010000000000000009,1599.1100000000001,1293.31,828.51,1371.99,0.10572461813982761,-0.24698023176550785,0.5390575056213058,0.45145232400657004,0.98,0.020000000000000018
1782167425557,btc-updown-15m-1782167400,15m,14:35,875,0.5,0.51,0.49,0.5,0.010000000000000009,0.010000000000000009,1241.81,978.1,1881.1,1320.91,0.11879310422494603,0.1749494848548255,0.5075568440940778,0.4906849784231797,0.99,0.010000000000000009
1782167428874,btc-updown-15m-1782167400,15m,14:32,872,0.54,0.55,0.45,0.46,0.010000000000000009,0.010000000000000009,1489.32,849.0,1733.2,1433.85,0.27383762701426667,0.09452013703604305,0.5490669473684211,0.4512419393360401,0.99,0.010000000000000009
