timestamp_ms,market_slug,timeframe,time_till_end,seconds_till_end,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth5,up_ask_depth5,down_bid_depth5,down_ask_depth5,up_imbalance,down_imbalance,up_microprice,down_microprice,arb_bid_sum_l1,arb_edge_l1
1782172802734,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:58,3598,0.46,0.47,0.53,0.54,0.009999999999999953,0.010000000000000009,271.06,251.97,321.97,276.06,0.036498862397950416,0.07676872397705806,0.4673228627520971,0.5339351487486227,0.99,0.010000000000000009
1782172806042,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:54,3594,0.47,0.48,0.52,0.53,0.010000000000000009,0.010000000000000009,321.36,445.57,670.1700000000001,425.96,-0.16195741462714977,0.2227929168985431,0.4733528918692371,0.5266610644257703,0.99,0.010000000000000009
1782172809365,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:51,3591,0.45,0.46,0.54,0.55,0.010000000000000009,0.010000000000000009,712.1,666.1700000000001,676.1700000000001,731.7,0.033324384917323854,-0.039442562168382,0.4566056619959966,0.5423353678123997,0.99,0.010000000000000009
1782172812644,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:48,3588,0.46,0.47,0.52,0.53,0.009999999999999953,0.010000000000000009,1251.1,593.37,575.77,1305.1,0.356595661626375,-0.38776204628709054,0.46979822437449553,0.5203403675970049,0.98,0.020000000000000018
1782172815981,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:45,3585,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,1015.8,764.02,764.02,1015.8,0.14146374352462607,-0.14146374352462607,0.4812964563526361,0.5187035436473639,0.99,0.010000000000000009
1782172819347,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:41,3581,0.49,0.5,0.5,0.51,0.010000000000000009,0.010000000000000009,1161.8,847.42,972.12,998.0,0.15646867938802123,-0.01313625565955373,0.49689002119312803,0.5096767311049331,0.99,0.010000000000000009
1782172822658,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:38,3578,0.46,0.47,0.53,0.54,0.009999999999999953,0.010000000000000009,735.1,1109.57,1117.57,875.6,-0.20300107878373905,0.12139957956421174,0.4629673590504451,0.5369314694851688,0.99,0.010000000000000009
1782172825958,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:35,3575,0.46,0.47,0.53,0.54,0.009999999999999953,0.010000000000000009,935.6,1057.97,618.67,1019.7,-0.06138234423672106,-0.24477376905094705,0.4630238887208951,0.5310073875083949,0.99,0.010000000000000009
1782172829246,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:31,3571,0.46,0.47,0.52,0.53,0.009999999999999953,0.010000000000000009,1168.7,765.6700000000001,1028.32,1035.7,0.20835207328484207,-0.0035755467485780704,0.46930323299888516,0.5279070954568658,0.98,0.020000000000000018
1782172832550,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:28,3568,0.46,0.47,0.53,0.54,0.009999999999999953,0.010000000000000009,923.4000000000001,1069.47,1079.47,933.4000000000001,-0.07329630131418503,0.07256802476066508,0.4641090773253642,0.5358909226746358,0.99,0.010000000000000009
1782172835859,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:25,3565,0.47,0.48,0.52,0.53,0.010000000000000009,0.010000000000000009,1070.5,699.62,452.02,1182.0,0.20952251824735046,-0.4467387180083475,0.4779770734996628,0.5204389815627743,0.99,0.010000000000000009
1782172839200,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:21,3561,0.49,0.5,0.5,0.51,0.010000000000000009,0.010000000000000009,1086.9,798.72,859.72,1108.6,0.15283036879116685,-0.12644285482035436,0.4978734826135319,0.5020312283457292,0.99,0.010000000000000009
1782172842596,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:18,3558,0.49,0.5,0.5,0.51,0.010000000000000009,0.010000000000000009,1162.9,879.32,879.32,1162.9,0.13885869299096082,-0.13885869299096082,0.498445986362005,0.501554013637995,0.99,0.010000000000000009
1782172845887,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:15,3555,0.49,0.5,0.5,0.51,0.010000000000000009,0.010000000000000009,1157.25,877.32,877.32,1157.25,0.13758681195535172,-0.13758681195535172,0.49847935176044755,0.5015206482395524,0.99,0.010000000000000009
1782172849181,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:11,3551,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,897.0,1210.92,1186.92,885.0,-0.1489240578390072,0.145719911965713,0.4816440608302507,0.5183559391697493,0.99,0.010000000000000009
1782172852486,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:08,3548,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,1048.2,1108.32,1098.32,1048.2,-0.02787824828890986,0.023349421389038953,0.4845120174799708,0.5153174603174603,0.99,0.010000000000000009
1782172855795,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:05,3545,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,1067.8,1086.87,1009.62,1120.8,-0.008850543238639761,-0.05218689272537807,0.4852612282309807,0.5121894736842105,0.99,0.010000000000000009
1782172859115,bitcoin-up-or-down-june-22-2026-8pm-et,1h,59:01,3541,0.49,0.5,0.5,0.51,0.010000000000000009,0.010000000000000009,1178.2,884.82,886.82,1198.2,0.14220899458076025,-0.14934149312716424,0.49881024470144436,0.5014675767918089,0.99,0.010000000000000009
1782172862430,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:58,3538,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,831.6,1115.75,1231.75,887.6,-0.14591624515367035,0.1623846934201524,0.4817152658662092,0.518502994011976,0.99,0.010000000000000009
1782172865742,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:55,3535,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,299.1,997.8,1040.8,270.0,-0.5387462410363173,0.588037839487336,0.44020177562550444,0.5598219373219373,0.99,0.010000000000000009
1782172869069,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:51,3531,0.46,0.47,0.53,0.54,0.009999999999999953,0.010000000000000009,889.1,1030.6,1030.6,858.1,-0.0737094337656925,0.09133266267803246,0.46054406964091404,0.5394559303590859,0.99,0.010000000000000009
1782172872365,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:48,3528,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,965.2,795.65,785.65,947.6,0.09628872419570099,-0.09343718448002311,0.48318411552346563,0.5170711610486892,0.99,0.010000000000000009
1782172875663,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:45,3525,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,1019.6,942.55,942.55,1019.6,0.039268149733710504,-0.039268149733710504,0.4834972244250595,0.5165027755749405,0.99,0.010000000000000009
1782172878962,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:42,3522,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,1029.6,976.85,976.85,1029.6,0.02629021405965755,-0.02629021405965755,0.48274937655860345,0.5172506234413965,0.99,0.010000000000000009
1782172882251,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:38,3518,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,1010.36,962.15,962.15,1010.36,0.02444094073033852,-0.02444094073033852,0.4823264083848025,0.5176735916151974,0.99,0.010000000000000009
1782172885547,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:35,3515,0.47,0.48,0.52,0.53,0.010000000000000009,0.010000000000000009,1050.3,953.81,953.81,1050.3,0.048146059847014394,-0.048146059847014394,0.4748619447779111,0.5251380552220889,0.99,0.010000000000000009
1782172888823,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:32,3512,0.47,0.48,0.51,0.52,0.010000000000000009,0.010000000000000009,1192.0,800.55,537.55,1054.9,0.19645680158590753,-0.3248767622217339,0.4797650375939849,0.5103563791874554,0.98,0.020000000000000018
1782172892095,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:28,3508,0.49,0.5,0.51,0.52,0.010000000000000009,0.010000000000000009,594.5,1228.02,1247.02,613.6,-0.34760661062704384,0.3404349087938429,0.49083168182665105,0.5195210727969348,1.0,0.0
1782172895409,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:25,3505,0.46,0.47,0.53,0.54,0.009999999999999953,0.010000000000000009,642.5,1428.0900000000001,1542.49,776.3,-0.3794039380080074,0.3304266449311926,0.46437751004016065,0.5379061976549413,0.99,0.010000000000000009
1782172898733,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:22,3502,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,631.3,1108.8,1143.8,642.7,-0.27440951669444286,0.28049258326336407,0.44148544266191325,0.5587066735644077,0.99,0.010000000000000009
1782172902057,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:18,3498,0.42,0.43,0.56,0.57,0.010000000000000009,0.009999999999999898,717.8,984.4000000000001,933.5,808.5,-0.15662084361414647,0.07175660160734787,0.426051779935275,0.5616835016835018,0.98,0.020000000000000018
1782172905362,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:15,3495,0.43,0.44,0.56,0.57,0.010000000000000009,0.009999999999999898,846.2,1132.2,1142.2,846.2,-0.144561261625556,0.1488634077650372,0.4328459637561779,0.5666061339790153,0.99,0.010000000000000009
1782172908648,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:12,3492,0.43,0.44,0.57,0.58,0.010000000000000009,0.010000000000000009,802.1,1132.2,1058.9,773.8,-0.17065605128470246,0.15556283079609326,0.431227295041728,0.5701208459214501,1.0,0.0
1782172911950,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:09,3489,0.42,0.43,0.56,0.58,0.010000000000000009,0.019999999999999907,878.8,976.9000000000001,1149.3,898.8,-0.05286414829983302,0.12230848103119965,0.4297229916897507,0.5709431467606876,0.98,0.020000000000000018
1782172915232,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:05,3485,0.42,0.43,0.57,0.58,0.010000000000000009,0.010000000000000009,815.3,1189.1,1178.1,815.3,-0.18648972261025742,0.18200060198655563,0.421913453046806,0.577991967871486,0.99,0.010000000000000009
1782172918563,bitcoin-up-or-down-june-22-2026-8pm-et,1h,58:02,3482,0.4,0.41,0.59,0.6,0.009999999999999953,0.010000000000000009,684.6,1175.0,1295.0,736.6,-0.26371262637126264,0.27485725536522937,0.4018880878819087,0.597149714971497,0.99,0.010000000000000009
1782172921911,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:59,3479,0.4,0.41,0.59,0.6,0.009999999999999953,0.010000000000000009,612.7,1262.7,1422.7,606.2,-0.3465927268849312,0.40243481689585486,0.4021893147502904,0.59752624671916,0.99,0.010000000000000009
1782172925235,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:55,3475,0.41,0.42,0.58,0.59,0.010000000000000009,0.010000000000000009,896.88,1040.1,1130.1,863.88,-0.0739398445002013,0.13351187073089996,0.4169515011547344,0.5836363636363636,0.99,0.010000000000000009
1782172928633,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:52,3472,0.4,0.41,0.59,0.6,0.009999999999999953,0.010000000000000009,584.78,1433.3,1479.6,653.78,-0.4204590501863157,0.3870946573043714,0.4015910571958495,0.5985743801652893,0.99,0.010000000000000009
1782172931944,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:49,3469,0.4,0.41,0.58,0.59,0.009999999999999953,0.010000000000000009,786.48,1301.0,718.6,965.58,-0.2464790081821143,-0.14664703297747272,0.4032364699564413,0.580981354268891,0.98,0.020000000000000018
1782172935270,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:45,3465,0.43,0.44,0.56,0.57,0.010000000000000009,0.009999999999999898,1152.58,734.2,835.8,1117.28,0.22174286350289907,-0.14412108054969588,0.43732205778717403,0.5628625235404896,0.99,0.010000000000000009
1782172938574,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:42,3462,0.43,0.44,0.56,0.57,0.010000000000000009,0.009999999999999898,1114.28,891.2,910.8,1114.28,0.11123521550950392,-0.10047998103778617,0.4366739606126915,0.5633260393873085,0.99,0.010000000000000009
1782172941873,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:39,3459,0.43,0.44,0.56,0.57,0.010000000000000009,0.009999999999999898,1071.28,1028.3,1028.3,1071.28,0.020470760818830442,-0.020470760818830442,0.43466437177280554,0.5653356282271945,0.99,0.010000000000000009
1782172945189,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:35,3455,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,1183.2,876.5,807.8,1259.5,0.14890518036607275,-0.21849755720021283,0.44646182495344505,0.5505360972122946,0.99,0.010000000000000009
1782172948548,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:32,3452,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,1274.5,707.8,707.8,1274.5,0.28588003833930287,-0.28588003833930287,0.44981604120676966,0.5501839587932303,0.99,0.010000000000000009
1782172951839,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:29,3449,0.45,0.46,0.54,0.55,0.010000000000000009,0.010000000000000009,1102.3,1371.94,1296.24,1131.7,-0.10897891877909989,0.06776938474591628,0.45294836617610384,0.5442588387933831,0.99,0.010000000000000009
1782172955135,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:25,3445,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,978.4000000000001,1213.82,1243.82,983.4000000000001,-0.10738885695778701,0.11692603335099354,0.4426670934016109,0.5581173812773569,0.99,0.010000000000000009
1782172958411,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:22,3442,0.45,0.46,0.54,0.55,0.010000000000000009,0.010000000000000009,1250.5,1213.34,1234.74,1251.5,0.015082148191441035,-0.006741103031083078,0.45890595009596935,0.5405873522236819,0.99,0.010000000000000009
1782172961764,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:19,3439,0.47,0.48,0.52,0.53,0.010000000000000009,0.010000000000000009,1000.5,1217.59,1214.59,1000.5,-0.0978724939024115,0.0966507004230076,0.478558246828143,0.521441753171857,0.99,0.010000000000000009
1782172965056,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:15,3435,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,706.8,1150.5,1210.5,612.5,-0.23889517040865776,0.32803071859572136,0.44356283100625904,0.5571599402092676,0.99,0.010000000000000009
1782172968357,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:12,3432,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,751.49,1045.0,1060.0,751.49,-0.16337970152909284,0.17030731607682073,0.4473389415854758,0.5526610584145243,0.99,0.010000000000000009
1782172971648,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:09,3429,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,773.99,1067.0,1067.0,773.99,-0.15915893079267132,0.15915893079267132,0.44759213950056315,0.5524078604994369,0.99,0.010000000000000009
1782172974937,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:06,3426,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,739.59,1224.8,1224.8,739.59,-0.24700288639221332,0.24700288639221332,0.4451554913080545,0.5548445086919457,0.99,0.010000000000000009
1782172978262,bitcoin-up-or-down-june-22-2026-8pm-et,1h,57:02,3422,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,800.49,1234.8,1324.8,790.49,-0.2133897380717244,0.25259420694089224,0.443575665783163,0.5562672932495938,0.99,0.010000000000000009
1782172981587,bitcoin-up-or-down-june-22-2026-8pm-et,1h,56:59,3419,0.44,0.45,0.55,0.56,0.010000000000000009,0.010000000000000009,881.77,1072.0,1072.0,881.77,-0.09736560598228042,0.09736560598228042,0.44852347244539015,0.5506052352852171,0.99,0.010000000000000009
1782172984907,bitcoin-up-or-down-june-22-2026-8pm-et,1h,56:56,3416,0.47,0.48,0.52,0.53,0.010000000000000009,0.010000000000000009,1113.5,1153.49,1197.79,1186.4,-0.017640130746055346,0.004777303822262434,0.47689440993788823,0.5231180400890868,0.99,0.010000000000000009
1782172988226,bitcoin-up-or-down-june-22-2026-8pm-et,1h,56:52,3412,0.48,0.49,0.51,0.52,0.010000000000000009,0.010000000000000009,1319.5,1179.68,1140.08,1293.5,0.05594635040293213,-0.06304292441588116,0.4889766680311093,0.510201369311317,0.99,0.010000000000000009
1782172991526,bitcoin-up-or-down-june-22-2026-8pm-et,1h,56:49,3409,0.49,0.5,0.5,0.51,0.010000000000000009,0.010000000000000009,1170.7,1364.08,1364.08,1220.7,-0.07629064455297892,0.05547087179566536,0.49187336604733745,0.5081266339526626,0.99,0.010000000000000009
